des(0, 17109, 19683)
(0, "x0", 1)
(1, "o1", 7)
(7, "x2", 16)
(16, "o3", 70)
(70, "x4", 151)
(151, "o5", 637)
(637, "x6", 1366)
(1366, "x-won", 19683)
(637, "x7", 2824)
(2824, "o6", 4282)
(4282, "x8", 10843)
(10843, "x-won", 19683)
(2824, "o8", 15946)
(15946, "x6", 16675)
(16675, "x-won", 19683)
(637, "x8", 7198)
(7198, "x-won", 19683)
(151, "o6", 1609)
(1609, "x5", 1852)
(1852, "o7", 6226)
(6226, "x8", 12787)
(12787, "x-won", 19683)
(1852, "o8", 14974)
(14974, "x7", 17161)
(1609, "x7", 3796)
(3796, "o5", 4282)
(3796, "o8", 16918)
(16918, "x5", 17161)
(1609, "x8", 8170)
(8170, "x-won", 19683)
(151, "o7", 4525)
(4525, "x5", 4768)
(4768, "o6", 6226)
(4768, "o8", 17890)
(17890, "x6", 18619)
(18619, "x-won", 19683)
(4525, "x6", 5254)
(5254, "x-won", 19683)
(4525, "x8", 11086)
(11086, "x-won", 19683)
(151, "o8", 13273)
(13273, "x5", 13516)
(13516, "o6", 14974)
(13516, "o7", 17890)
(13273, "x6", 14002)
(14002, "x-won", 19683)
(13273, "x7", 15460)
(15460, "o5", 15946)
(15460, "o6", 16918)
(70, "x5", 313)
(313, "o4", 475)
(475, "x6", 1204)
(1204, "o7", 5578)
(5578, "o-won", 19683)
(1204, "o8", 14326)
(14326, "x7", 16513)
(475, "x7", 2662)
(2662, "o6", 4120)
(4120, "x8", 10681)
(10681, "x-won", 19683)
(2662, "o8", 15784)
(15784, "x6", 16513)
(475, "x8", 7036)
(7036, "x-won", 19683)
(313, "o6", 1771)
(1771, "x4", 1852)
(1771, "x7", 3958)
(3958, "o4", 4120)
(3958, "o8", 17080)
(17080, "x4", 17161)
(1771, "x8", 8332)
(8332, "x-won", 19683)
(313, "o7", 4687)
(4687, "x4", 4768)
(4687, "x6", 5416)
(5416, "o4", 5578)
(5416, "o8", 18538)
(18538, "x4", 18619)
(4687, "x8", 11248)
(11248, "x-won", 19683)
(313, "o8", 13435)
(13435, "x4", 13516)
(13435, "x6", 14164)
(14164, "o4", 14326)
(14164, "o7", 18538)
(13435, "x7", 15622)
(15622, "o4", 15784)
(15622, "o6", 17080)
(70, "x6", 799)
(799, "o4", 961)
(961, "x5", 1204)
(961, "x7", 3148)
(3148, "o5", 3634)
(3634, "o-won", 19683)
(3148, "o8", 16270)
(16270, "x5", 16513)
(961, "x8", 7522)
(7522, "o5", 8008)
(8008, "o-won", 19683)
(7522, "o7", 11896)
(11896, "o-won", 19683)
(799, "o5", 1285)
(1285, "x4", 1366)
(1285, "x7", 3472)
(3472, "o4", 3634)
(3472, "o8", 16594)
(16594, "x4", 16675)
(1285, "x8", 7846)
(7846, "o4", 8008)
(7846, "o7", 12220)
(12220, "x4", 12301)
(12301, "x-won", 19683)
(799, "o7", 5173)
(5173, "x4", 5254)
(5173, "x5", 5416)
(5173, "x8", 11734)
(11734, "o4", 11896)
(11734, "o5", 12220)
(799, "o8", 13921)
(13921, "x4", 14002)
(13921, "x5", 14164)
(13921, "x7", 16108)
(16108, "o4", 16270)
(16108, "o5", 16594)
(70, "x7", 2257)
(2257, "o4", 2419)
(2419, "x5", 2662)
(2419, "x6", 3148)
(2419, "x8", 8980)
(8980, "o5", 9466)
(9466, "o-won", 19683)
(8980, "o6", 10438)
(10438, "x5", 10681)
(2257, "o5", 2743)
(2743, "x4", 2824)
(2743, "x6", 3472)
(2743, "x8", 9304)
(9304, "o4", 9466)
(9304, "o6", 10762)
(10762, "x4", 10843)
(2257, "o6", 3715)
(3715, "x4", 3796)
(3715, "x5", 3958)
(3715, "x8", 10276)
(10276, "o4", 10438)
(10276, "o5", 10762)
(2257, "o8", 15379)
(15379, "x4", 15460)
(15379, "x5", 15622)
(15379, "x6", 16108)
(70, "x8", 6631)
(6631, "o4", 6793)
(6793, "x5", 7036)
(6793, "x6", 7522)
(6793, "x7", 8980)
(6631, "o5", 7117)
(7117, "x4", 7198)
(7117, "x6", 7846)
(7117, "x7", 9304)
(6631, "o6", 8089)
(8089, "x4", 8170)
(8089, "x5", 8332)
(8089, "x7", 10276)
(6631, "o7", 11005)
(11005, "x4", 11086)
(11005, "x5", 11248)
(11005, "x6", 11734)
(16, "o4", 178)
(178, "x3", 205)
(205, "o5", 691)
(691, "x6", 1420)
(1420, "x-won", 19683)
(691, "x7", 2878)
(2878, "o6", 4336)
(4336, "x8", 10897)
(2878, "o8", 16000)
(16000, "x6", 16729)
(16729, "x-won", 19683)
(691, "x8", 7252)
(7252, "o6", 8710)
(8710, "x7", 10897)
(7252, "o7", 11626)
(11626, "o-won", 19683)
(205, "o6", 1663)
(1663, "x5", 1906)
(1906, "o7", 6280)
(6280, "o-won", 19683)
(1906, "o8", 15028)
(15028, "x7", 17215)
(1663, "x7", 3850)
(3850, "o5", 4336)
(3850, "o8", 16972)
(16972, "x5", 17215)
(1663, "x8", 8224)
(8224, "o5", 8710)
(8224, "o7", 12598)
(12598, "o-won", 19683)
(205, "o7", 4579)
(4579, "o-won", 19683)
(205, "o8", 13327)
(13327, "x5", 13570)
(13570, "o6", 15028)
(13570, "o7", 17944)
(17944, "o-won", 19683)
(13327, "x6", 14056)
(14056, "x-won", 19683)
(13327, "x7", 15514)
(15514, "o5", 16000)
(15514, "o6", 16972)
(178, "x5", 421)
(421, "o3", 475)
